original_line,token_ids,decoded_line
《治癒者》裏印象最深的，就像田徑選手似的從地上跑到屋頂，穿過巷弄、躍下樓底。,"[32000, 445, 13735, 25423, 25601, 26333, 1592, 25377, 8289, 0, 1402, 26296, 27083, 3926, 6203, 25512, 4840, 8988, 7446, 0, 9762, 12045, 25295, 27157, 25341, 26052, 25999, 25292]",《治癒者》裏印象最深的就像田徑選手似的從地上跑到屋頂穿過巷弄、躍下樓底。
為了瞭解自己之精神衛生上的狀態，只要不斷重複「無悔的戀愛」即可。,"[32000, 1465, 1903, 8, 25351, 484, 1005, 136, 937, 0, 279, 413, 4167, 25347, 25438, 27572, 25291, 2893, 25366, 782, 25292]",為了瞭解自己之精神衛生上的狀態只要不斷重複「無悔的戀愛」即可。
經常檢查網箱，發現破損及時修補，以免逃魚或兇猛魚類入箱。,"[32000, 23130, 976, 25396, 26397, 0, 115, 23192, 2857, 15744, 0, 4598, 26938, 26241, 25472, 27857, 27123, 20706, 25467, 26397, 25292]",經常檢查網箱發現破損及時修補以免逃魚或兇猛魚類入箱。
ONE PIECE 海賊王 尼龍托特包_草帽海賊團(黑),"[32000, 753, 13631, 125, 25556, 3681, 25575, 2420, 7700, 12479, 26031, 26757, 25481, 25626, 25571, 26116, 27288, 25576, 27674, 25717, 25334, 25883, 25336]",ONE PIECE 海賊王 尼龍托特包_草帽海賊團(黑)
對此，馮賢賢反批，立委扣人帽子要有事證，不能光用網站黑函貼標籤，她一向秉持公視獨立超然公正精神，過去民進黨執政時，她監製拍攝紀錄片，揭發政府置入性行銷及教育單位能力分班等惡行，總統大選期間舉辦審議式辯論，參與公民同樣對謝長廷犀利提問，當時她還被綠媒點名臭罵，「請問我是誰的打手」？,"[32000, 11315, 0, 28065, 27036, 27036, 25841, 26462, 0, 6736, 26832, 25296, 8500, 4451, 25407, 25752, 0, 226, 25583, 25326, 58, 25883, 27507, 26225, 972, 0, 25484, 6707, 6356, 25372, 25480, 919, 25693, 25429, 10779, 484, 0, 393, 5870, 7812, 25317, 0, 25484, 26275, 25893, 1013, 6451, 0, 27190, 25355, 178, 25821, 25467, 25421, 1523, 25386, 127, 626, 251, 25382, 25880, 25435, 26356, 25357, 0, 958, 9193, 682, 754, 10835, 25494, 11032, 0, 524, 3898, 1301, 25358, 26129, 25440, 27537, 11429, 9866, 0, 716, 25484, 17493, 26288, 26415, 24946, 27367, 27478, 0, 25347, 4348, 1616, 26440, 25291, 25629, 25420, 25366, 0]",對此馮賢賢反批立委扣人帽子要有事證不能光用網站黑函貼標籤她一向秉持公視獨立超然公正精神過去民進黨執政時她監製拍攝紀錄片揭發政府置入性行銷及教育單位能力分班等惡行總統大選期間舉辦審議式辯論參與公民同樣對謝長廷犀利提問當時她還被綠媒點名臭罵「請問我是誰的打手」
35.漸漸地，你也終于成為了我心中的一個情結。,"[32000, 168, 8163, 22841, 0, 10080, 11768, 114, 3029, 6770, 7, 25419, 25611, 0, 25292]",35.漸漸地你也終于成為了我心中的一個情結。
《石油世紀》一書的作者、普立茲獎得主尤金則表示，在埃克森美孚的全球營運版圖中，俄國所占比例相對較小，且雙方僅有「商業關係」，若提勒森出任美國務卿，他會追求美國家利益，「這是個最高級的鷹級童子軍型男子」、「循規蹈矩」、且是個「使命必達」的人。,"[32000, 445, 4376, 944, 25601, 25293, 7090, 364, 25295, 26125, 25603, 27201, 17486, 26580, 25507, 21731, 0, 25299, 27382, 25871, 26534, 25363, 29201, 25291, 223, 2118, 17790, 25306, 0, 13228, 25391, 26956, 2205, 1607, 12813, 0, 25747, 1767, 9430, 25347, 611, 281, 25366, 0, 25963, 25456, 26857, 26534, 16575, 53, 25491, 28179, 0, 7522, 1615, 53, 25345, 2303, 0, 25347, 476, 25316, 1021, 2742, 27768, 25714, 26236, 25356, 26066, 25688, 1539, 1155, 27045, 25795, 27836, 28119, 877, 25747, 1107, 25347, 3904, 25801, 25695, 25366, 35, 25292]",《石油世紀》一書的作者、普立茲獎得主尤金則表示在埃克森美孚的全球營運版圖中俄國所占比例相對較小且雙方僅有「商業關係」若提勒森出任美國務卿他會追求美國家利益「這是個最高級的鷹級童子軍型男子」、「循規蹈矩」、且是個「使命必達」的人。
第二百零一章：人類王子，太神秘(二十七),"[32000, 7058, 10282, 25789, 0, 743, 4039, 0, 25672, 3873, 25334, 646, 26013, 25336]",第二百零一章人類王子太神秘(二十七)
這張出生證明有望使聯邦政府在護照及其他官方文件認可陰陽人上，向前邁進一步。,"[32000, 25, 25757, 2504, 1401, 11332, 25509, 6208, 178, 25299, 8194, 5649, 1445, 1308, 4852, 8780, 25296, 25310, 0, 6264, 27215, 992, 25292]",這張出生證明有望使聯邦政府在護照及其他官方文件認可陰陽人上向前邁進一步。
Google 網路服務非常多，網域名稱其實也不少喔！,"[32000, 7019, 4014, 26, 15944, 0, 18003, 1471, 186, 331, 25562, 26544, 0]",Google 網路服務非常多網域名稱其實也不少喔
信陽紅紅茶文化推廣模式讓信陽茶在競爭下更紅 - 信陽茶葉網,"[32000, 8239, 26020, 25863, 10856, 160, 1518, 591, 25454, 25558, 26020, 26205, 25299, 1063, 25341, 25457, 25863, 36, 8239, 26020, 7526, 25396]",信陽紅紅茶文化推廣模式讓信陽茶在競爭下更紅 - 信陽茶葉網
利用雲端筆記本共作，配合教育百科查詢「綠建築」並澄清概念，最後拍攝校園綠建築，用「Com-phone」App剪輯成影片成果。,"[32000, 8255, 2380, 9038, 25822, 25352, 0, 1088, 127, 5345, 187, 25347, 26288, 525, 25366, 25538, 11703, 1118, 0, 236, 1013, 1304, 26288, 525, 0, 25326, 25347, 10273, 25359, 25452, 1692, 25366, 2575, 15586, 25344, 666, 1675, 25292]",利用雲端筆記本共作配合教育百科查詢「綠建築」並澄清概念最後拍攝校園綠建築用「Com-phone」App剪輯成影片成果。
建築規劃設計、設計理論、設計方法、藝術創作、表現法,"[32000, 19071, 664, 40, 25295, 40, 1128, 25295, 40, 315, 25295, 190, 850, 25295, 487, 25403]",建築規劃設計、設計理論、設計方法、藝術創作、表現法
嬴政前來看望養傷的敏夫人，敏夫人假意為公孫麗求情，嬴政則說她過於善良，自己也沒想到公孫麗會做出這樣的事。,"[32000, 25289, 29984, 25620, 25398, 1443, 25770, 25899, 26191, 25291, 26637, 3638, 0, 26637, 3638, 26033, 25482, 25312, 25372, 26899, 26036, 25686, 25419, 0, 29984, 25620, 25760, 13784, 4467, 6934, 0, 14921, 1889, 25372, 26899, 26036, 25311, 2026, 93, 253, 25292]",嬴政前來看望養傷的敏夫人敏夫人假意為公孫麗求情嬴政則說她過於善良自己也沒想到公孫麗會做出這樣的事。
